algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static0,False,0,100,3,0.5,0.2,1,0.0,0.0,0.2,0.2,0.8730223014608874,0.8670710707656778,-14273.473441492997,-14278.494146612307,0.7154381194382654,0.7106065148807075,0.7136623226221094,0.7104379844175311,0.6557,0.6572,0.6637,0.6601
CRepDyn_static,False,0,100,3,0.5,0.2,1,0.0,0.0,0.2,0.2,0.8723858677592911,0.8726248526292422,-14203.450861807185,-14180.821045581315,0.7156159293718963,0.7130553160208326,0.7177858637202736,0.7159613564727798,0.6591,0.6613,0.6589,0.6621
CRepDyn_static0,False,0,100,3,0.5,0.2,2,0.0,0.0,0.8686418458311485,0.2,0.9163277834267153,0.9163895681792182,-7283.975031247811,-14043.112040309454,0.7622769091647006,0.7496728835221599,0.75458315863645,0.7465355855274391,0.7172,0.6935,0.7064,0.6888
CRepDyn_static,False,0,100,3,0.5,0.2,2,0.002323942169647564,0.0,0.8683894932955891,0.2,0.9191346301709161,0.9145598665046168,-7244.393898699301,-14073.747891136012,0.7537685480035127,0.7414611517854669,0.7577290344372656,0.7514600021403394,0.7096,0.6904,0.7074,0.7021
CRepDyn_static0,False,0,100,3,0.5,0.2,3,0.0,0.0,0.7741694263433395,0.2,0.9211093411408798,0.9200137614500224,-5952.753546747987,-14690.769409477769,0.7910892412463154,0.7798986701748367,0.793319167118182,0.7844447942529899,0.7457,0.7375,0.751,0.7332
CRepDyn_static,False,0,100,3,0.5,0.2,3,0.02444313732401716,0.0,0.7701807636930376,0.2,0.9416261427300878,0.923553790923078,-5791.63872806337,-14575.001401227804,0.7800363201724401,0.7745078693502737,0.7927539614916226,0.7863256834433343,0.7337,0.722,0.7513,0.7353
CRepDyn_static0,False,0,100,3,0.5,0.2,4,0.0,0.0,0.705566973460817,0.2,0.8860813764690127,0.8857461400763124,-6091.580402402024,-15965.920314092167,0.8325956442086858,0.8242648926858296,0.8290725327896528,0.8242049807842883,0.8054,0.7801,0.7918,0.7835
CRepDyn_static,False,0,100,3,0.5,0.2,4,0.039167160191646906,0.0,0.698124013167278,0.2,0.9070990515428671,0.8849508884561538,-5985.439278195505,-15926.771634004286,0.8068421520846479,0.8019435099657911,0.8255176684662753,0.8181793245486807,0.7719,0.7562,0.7858,0.7772
CRepDyn_static0,False,0,100,3,0.5,0.2,5,0.0,0.0,0.6535091061495087,0.2,0.8866823199556183,0.8866616520310786,-5816.257235042121,-16591.22894028836,0.8170734776216542,0.80889509507678,0.81436297961493,0.8121199492999324,0.7669,0.7609,0.7814,0.7627
CRepDyn_static0,False,0,100,3,0.5,0.2,6,0.0,0.0,0.6135853046121319,0.2,0.8863963538078182,0.8870822284754177,-5442.622647426599,-16929.522520205217,0.8078388248689977,0.7987755492780678,0.8108361758843154,0.8054671714180617,0.7592,0.7526,0.7646,0.7572
CRepDyn_static,False,0,100,3,0.5,0.2,5,0.05405521067494899,0.0,0.6424951241324744,0.2,0.9167068325653034,0.8870274589360835,-5436.975963651114,-16534.76766488688,0.7806618891749131,0.7733129218061144,0.8167487231761111,0.8142847321369479,0.7409,0.7222,0.7715,0.7756
CRepDyn_static,False,0,100,3,0.5,0.2,6,0.0681459501215852,0.0,0.5992301247880449,0.2,0.9181727146047749,0.8877481467784116,-5069.0081183411485,-16837.52616079832,0.7589615127984967,0.7549364965572256,0.7994123016959309,0.7920737219364017,0.7064,0.7058,0.7483,0.7424
