algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static,False,0,100,3,0.5,0.2,1,0.0,0.0,0.2,0.2,0.8788699169385367,0.877436952622451,-14189.389812147332,-14133.340336834957,0.7329569014538242,0.7527420209823472,0.7256789810932797,0.7445731243138148,0.679,0.7002,0.675,0.6909
CRepDyn_static,False,0,100,3,0.5,0.2,2,6.568529186758964e-17,0.0,0.8735183014198256,0.2,0.9116751237125844,0.913874596844491,-7456.502714797668,-14181.055521501996,0.7664475255841409,0.7743652023652471,0.7804531936682779,0.786134833685989,0.7195,0.7265,0.7354,0.7448
CRepDyn_static,False,0,100,3,0.5,0.2,3,0.018835941148032546,0.0,0.7766697292885241,0.2,0.9432051052403266,0.9202246899529755,-5684.96117965304,-14502.75098839646,0.7896488861333385,0.7936893692503284,0.8062423797905539,0.812587320661696,0.7435,0.7515,0.762,0.7618
CRepDyn_static,False,0,100,3,0.5,0.2,4,0.03647865052914902,0.0,0.7032198995588639,0.2,0.8961016510675067,0.8786591151626044,-6166.417009106676,-16107.443183900585,0.8167286647458208,0.827567164729006,0.8391116945065662,0.8429216810439042,0.7807,0.7899,0.8042,0.8044
CRepDyn_static,False,0,100,3,0.5,0.2,5,0.04858270068702605,0.0,0.6499297857110244,0.2,0.915571585306206,0.8849166539305048,-5229.9105863880895,-16460.448756980884,0.7932713325674889,0.7948275052628114,0.8287732499297243,0.8285066898775919,0.749,0.7515,0.7902,0.7901
CRepDyn_static,False,0,100,3,0.5,0.2,6,0.06105637587793201,0.0,0.6066982368653588,0.2,0.9153430555007624,0.8839745095739129,-4943.338948663765,-17012.726511397916,0.7730184771816202,0.7785698002385036,0.8136432251624377,0.818092696022356,0.7296,0.7285,0.7699,0.7695
CRepDyn_static0,False,0,100,3,0.5,0.2,1,0.0,0.0,0.2,0.2,0.8781304951541139,0.8744664867608059,-14157.46102158308,-14254.883717647914,0.7279614353575758,0.7472549912840405,0.7198788330046609,0.7367492223089994,0.6776,0.6884,0.6634,0.6801
CRepDyn_static0,False,0,100,3,0.5,0.2,2,0.0,0.0,0.8735183014198256,0.2,0.91155311119828,0.9132453320012159,-7354.25892819662,-14207.058080136962,0.7657488986773009,0.7735597276832711,0.7795228489060266,0.7758680691711828,0.7118,0.7205,0.7276,0.7226
CRepDyn_static0,False,0,100,3,0.5,0.2,3,0.0,0.0,0.7796900053447355,0.2,0.9203450437834726,0.9216121383059614,-5906.849747498867,-14541.111607649575,0.8050778218724364,0.8152295944920912,0.8070235624765777,0.8178967171163044,0.7617,0.768,0.7566,0.7661
CRepDyn_static0,False,0,100,3,0.5,0.2,4,0.0,0.0,0.7101085299129968,0.2,0.8757870796154548,0.876621683362599,-6077.289036196903,-16147.022048805753,0.8418984008456901,0.8486423794767147,0.8429749532962821,0.8496869803322599,0.8059,0.8044,0.8069,0.8122
CRepDyn_static0,False,0,100,3,0.5,0.2,5,0.0,0.0,0.6597835265218395,0.2,0.884533265910219,0.8836435201181503,-5633.396707669291,-16409.98518814713,0.8304894235128176,0.8314582620549643,0.8309964346723522,0.8326262725398395,0.8,0.7873,0.7946,0.7863
CRepDyn_static0,False,0,100,3,0.5,0.2,6,0.0,0.0,0.6195484692168556,0.2,0.8829529987732201,0.8830268012422201,-5356.914468692828,-17074.502127478903,0.8116000793146859,0.8165517875009821,0.8140573871649063,0.8179409939510152,0.7737,0.7695,0.7753,0.7739
