algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static0,False,0,100,3,0.2,0.2,1,0.0,0.0,0.2,0.2,0.890674746548799,0.8924392838882905,-13905.526577300792,-13839.780276169953,0.6928433539284365,0.713180256808412,0.6939683018371302,0.710142476957232,0.6405,0.6599,0.6305,0.6649
CRepDyn_static,False,0,100,3,0.2,0.2,1,0.0,0.0,0.2,0.2,0.8909246111808229,0.8894112439295329,-13891.33553397571,-13837.710418003715,0.6912891404082641,0.7061502655110652,0.6973312625027492,0.7115978790189342,0.6386,0.6457,0.646,0.6619
CRepDyn_static,False,0,100,3,0.2,0.2,2,1.2510219617322193e-149,0.0,0.8745276872964171,0.2,0.9150874650083427,0.9185708954848826,-6858.782619065459,-13988.034128691565,0.7203837059696321,0.7367540607542721,0.731187881478439,0.7427331479020196,0.6615,0.6847,0.6752,0.6777
CRepDyn_static0,False,0,100,3,0.2,0.2,2,0.0,0.0,0.8745276872964171,0.2,0.9159970737676906,0.9167524553840666,-6894.249036596325,-13996.21755271101,0.721514151093902,0.7278032330871677,0.7223645701786732,0.7385887939002593,0.6554,0.675,0.6532,0.6818
CRepDyn_static,False,0,100,3,0.2,0.2,3,0.00013483462277316243,0.0,0.7862515462969709,0.2,0.9174693048225582,0.917680138089007,-5392.585111022511,-14487.986830299831,0.7652885813683202,0.773415789338387,0.7683570267873318,0.7798054605297171,0.7047,0.7188,0.722,0.7244
CRepDyn_static0,False,0,100,3,0.2,0.2,3,0.0,0.0,0.7862728062554302,0.2,0.9185579901724993,0.9166911768411568,-5546.532462103287,-14446.11662255044,0.7712558139724425,0.778721972359998,0.7666531923819625,0.7778930949253033,0.7151,0.7308,0.7062,0.7202
CRepDyn_static,False,0,100,3,0.2,0.2,4,0.009083154446845675,0.0,0.7189689276369363,0.2,0.8869345535459014,0.8815953686694058,-5549.890604218903,-15690.41452373471,0.7944013277322808,0.8030896122252545,0.791453206370599,0.7986262663171304,0.7492,0.7698,0.7454,0.7407
CRepDyn_static0,False,0,100,3,0.2,0.2,4,0.0,0.0,0.7206564064528094,0.2,0.8811019905006908,0.8806736971952558,-5529.332755887707,-15712.28576994858,0.7943925381358863,0.8046002555984293,0.8039960538688298,0.8118818713289054,0.7587,0.7558,0.7591,0.7641
CRepDyn_static,False,0,100,3,0.2,0.2,5,0.01544528282508722,0.0,0.6690672212169341,0.2,0.899424232424973,0.8854980934261872,-4856.419462841644,-16084.58820426316,0.7719056129289956,0.7797359038855252,0.7823893412150456,0.7871590081969563,0.7239,0.7364,0.7396,0.7282
CRepDyn_static0,False,0,100,3,0.2,0.2,5,0.0,0.0,0.6721667739858341,0.2,0.8849044454463699,0.8859421024049792,-5023.81605945884,-16031.760469802712,0.7865740827311064,0.7865114904191525,0.7769283950406359,0.7776937857267057,0.747,0.7369,0.7295,0.7336
CRepDyn_static0,False,0,100,3,0.2,0.2,6,0.0,0.0,0.6332740846071812,0.2,0.8886908119906152,0.8858677997120263,-4787.3737036426555,-16525.585900016693,0.7620150721218361,0.7692019809798119,0.7709566373300906,0.7754939896792254,0.7122,0.7234,0.7136,0.7292
CRepDyn_static,False,0,100,3,0.2,0.2,6,0.022574497461949058,0.0,0.6285465239839568,0.2,0.8999174244944185,0.8863775488162164,-4553.549907740787,-16557.754169211898,0.745230397334808,0.7614573292542047,0.7698877134189984,0.7753284852880894,0.6806,0.7066,0.7242,0.7167
