algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static,False,0,100,3,0.05,0.2,1,0.0,0.0,0.2,0.2,0.8988922766453581,0.9017954130340708,-13742.648258103778,-13613.694158045006,0.6768198373259766,0.6954259634132586,0.6949137707368038,0.7085289624893865,0.624,0.6453,0.6508,0.6461
CRepDyn_static0,False,0,100,3,0.05,0.2,1,0.0,0.0,0.2,0.2,0.9027240580887164,0.9000179721451439,-13590.611048131355,-13597.069461375017,0.6925996475078615,0.7115094062117859,0.6947335938068905,0.7148782969264762,0.6379,0.6554,0.6359,0.6621
CRepDyn_static,False,0,100,3,0.05,0.2,2,7.89517934325745e-284,0.0,0.8739858675739336,0.2,0.9218881105245056,0.9236862582996357,-6670.071309308633,-13818.302613714779,0.7315943488270806,0.7393281171940934,0.72738710686966,0.7385803005189887,0.6747,0.6894,0.6795,0.6852
CRepDyn_static0,False,0,100,3,0.05,0.2,2,0.0,0.0,0.8739858675739336,0.2,0.9208789025568764,0.924346732195219,-6715.994376493817,-13777.950024770487,0.7203234359939094,0.7323145740235165,0.7236141843432846,0.7350660097782037,0.655,0.6776,0.667,0.6882
CRepDyn_static,False,0,100,3,0.05,0.2,3,1.7361504083757145e-197,0.0,0.7865612648221345,0.2,0.9195707727438859,0.9189607531147526,-5267.006161006016,-14342.017699070988,0.7668955552801834,0.7757310120295419,0.76171307770169,0.770782617589935,0.7191,0.7263,0.7041,0.7169
CRepDyn_static0,False,0,100,3,0.05,0.2,3,0.0,0.0,0.7865612648221345,0.2,0.918491544498878,0.9174014285752213,-5183.397370078447,-14269.280238707857,0.7662595284667338,0.7714604387609538,0.7618300149072702,0.7640659163634795,0.7111,0.7262,0.7118,0.7146
CRepDyn_static,False,0,100,3,0.05,0.2,4,5.603307220293409e-100,0.0,0.7224004529156447,0.2,0.8805728344082426,0.880736616025156,-5247.742739453193,-15465.571690975506,0.7904077850059811,0.7943551404790716,0.792570408452464,0.8029362750601533,0.7545,0.7446,0.7499,0.7586
CRepDyn_static0,False,0,100,3,0.05,0.2,4,0.0,0.0,0.7224004529156447,0.2,0.8795119632932146,0.880886645893422,-5348.413224282699,-15507.43724082064,0.7958648242277935,0.8060665606703947,0.790588443959548,0.7994709974023475,0.7485,0.7591,0.7506,0.755
CRepDyn_static,False,0,100,3,0.05,0.2,5,3.795451609116809e-30,0.0,0.6750185444655076,0.2,0.8883643962049331,0.888882249888152,-4681.119129261651,-15753.860417432674,0.767819640842268,0.7766298209207632,0.7676131033108198,0.7767515453647945,0.7132,0.7329,0.7156,0.7275
CRepDyn_static0,False,0,100,3,0.05,0.2,5,0.0,0.0,0.6750185444655076,0.2,0.8886274480696059,0.888096474213108,-4702.9592443013335,-15832.372671843728,0.768960541741606,0.775459324632078,0.7639691670141775,0.7725451791972179,0.7139,0.7346,0.7102,0.729
CRepDyn_static,False,0,100,3,0.05,0.2,6,0.0016242396169750435,0.0,0.6357964355889758,0.2,0.8859334577340556,0.8863320166741394,-4535.197933734323,-16326.595862452083,0.7503343144709222,0.7590820959251438,0.7555214930034927,0.7535969991792513,0.6987,0.706,0.7116,0.7088
CRepDyn_static0,False,0,100,3,0.05,0.2,6,0.0,0.0,0.6361371629542792,0.2,0.8848759542049324,0.8876072793454651,-4566.304238934818,-16201.462339611135,0.7625971208288864,0.7682173867336591,0.7551937753032187,0.7583329410588519,0.7097,0.7139,0.7022,0.7005
