algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static,False,0,100,3,0.2,0.2,1,0.0,0.0,0.2,0.2,0.9053245709099262,0.9049704740024418,-13723.729301319407,-13678.642548361722,0.7300717800277107,0.7417378673504504,0.7340043176072859,0.7509694989557518,0.6806,0.6872,0.6826,0.6888
CRepDyn_static,False,0,100,3,0.2,0.2,2,1.1348722035204895e-133,0.0,0.867614451545585,0.2,0.9180305071382963,0.9182687651405481,-6926.691827713133,-14079.017566279133,0.7700481673980036,0.7854299270074585,0.7738164640843739,0.7902548047172582,0.7276,0.7288,0.7239,0.7258
CRepDyn_static0,False,0,100,3,0.2,0.2,1,0.0,0.0,0.2,0.2,0.9068949952296486,0.9050805240311324,-13674.04008009745,-13688.287372256898,0.7374696986936462,0.7468028771915254,0.7329092565974529,0.748245951035516,0.6779,0.69,0.6679,0.6919
CRepDyn_static,False,0,100,3,0.2,0.2,3,0.0014957825630779924,0.0,0.7797934328658361,0.2,0.9265356980220247,0.9251819370211639,-5405.23137711654,-14413.63924315433,0.799642701218244,0.8120688444478075,0.8027456509965453,0.8120815719521841,0.7483,0.7609,0.7488,0.7601
CRepDyn_static,False,0,100,3,0.2,0.2,4,0.008847024620745231,0.0,0.7143725536738235,0.2,0.8850559395377866,0.8794921616558192,-5813.328787537614,-15983.710332956409,0.8250863221369704,0.8302685680689755,0.8278997328258977,0.8325521968628823,0.791,0.7858,0.7984,0.7897
CRepDyn_static0,False,0,100,3,0.2,0.2,2,0.0,0.0,0.867614451545585,0.2,0.9151705124268258,0.9160123756464436,-7061.123845662099,-13985.974653035339,0.7664222276342646,0.7804017421053085,0.7717691837656124,0.7843859350349355,0.7104,0.7214,0.7213,0.7199
CRepDyn_static,False,0,100,3,0.2,0.2,5,0.015685718270211903,0.0,0.6622087736590144,0.2,0.9017366598420538,0.8934557542422015,-4896.96524205597,-15939.45755558787,0.7980759678649249,0.8078208140531413,0.8142574520898183,0.8221840159434207,0.7518,0.7515,0.7744,0.7782
CRepDyn_static0,False,0,100,3,0.2,0.2,3,0.0,0.0,0.7800345721694038,0.2,0.9263383642664273,0.9248042827549674,-5365.157886276285,-14437.859347961272,0.8068777429292537,0.8193861052693617,0.8057198903447813,0.816792887898779,0.7608,0.7697,0.7672,0.7645
CRepDyn_static,False,0,100,3,0.2,0.2,6,0.020719309190034486,0.0,0.6221822448291685,0.2,0.897283307518391,0.8785467995917048,-4859.534339148543,-16715.414332718472,0.7743976243845287,0.7838639326238527,0.786936566525217,0.7978325617744201,0.7288,0.7328,0.7426,0.7482
CRepDyn_static0,False,0,100,3,0.2,0.2,4,0.0,0.0,0.7160323588895019,0.2,0.8789397550012401,0.8788159467858715,-5822.8741566730105,-16036.643722395762,0.8309328592736118,0.8399795375876472,0.8285113781805759,0.8353549695989855,0.7899,0.7956,0.793,0.7866
CRepDyn_static0,False,0,100,3,0.2,0.2,5,0.0,0.0,0.6653895274584931,0.2,0.8926560283008536,0.8932142693312186,-4914.005188759443,-15914.860216219804,0.8157477285721683,0.8206926925198552,0.8124988890273999,0.8204113871601145,0.782,0.7715,0.7773,0.7729
CRepDyn_static0,False,0,100,3,0.2,0.2,6,0.0,0.0,0.6265586474110604,0.2,0.8805596785555359,0.8793187315563489,-5003.400505788945,-16665.918962836993,0.7898250281250904,0.8028352007902025,0.7901989581547404,0.8014057000469197,0.744,0.7557,0.7452,0.7522
