algo,constrained,flag_data_T,rseed,K,eta0,beta0,T,eta,eta_aggr,beta,beta_aggr,auc,auc_aggr,loglik,loglik_aggr,CS_U,CS_V,CS_U_aggr,CS_V_aggr,F1_U,F1_V,F1_U_aggr,F1_V_aggr
CRepDyn_static0,False,0,100,3,0.5,0.2,1,0.0,0.0,0.2,0.2,0.8838866953037835,0.8816424954870478,-14334.141946989132,-14309.027933582951,0.7030409722117764,0.7242256873524664,0.7062233563727797,0.7244551120303936,0.6513,0.6781,0.6548,0.6799
CRepDyn_static0,False,0,100,3,0.5,0.2,2,0.0,0.0,0.876186810366949,0.2,0.9119938444838586,0.9120482346302995,-7305.034582233352,-14357.309741051204,0.7584270208780449,0.7688904053713462,0.7565590217374419,0.7717893917208474,0.7048,0.72,0.7156,0.7248
CRepDyn_static,False,0,100,3,0.5,0.2,1,0.0,0.0,0.2,0.2,0.8818664543597973,0.8821234448139936,-14375.86103097461,-14371.651650678916,0.7061083976258603,0.7227720529929759,0.7034046907020893,0.7326292981757646,0.6624,0.6774,0.6457,0.6838
CRepDyn_static0,False,0,100,3,0.5,0.2,3,0.0,0.0,0.7849814912744582,0.2,0.9258172853512783,0.9281282706177824,-5805.644618514952,-14630.16222361743,0.7983923922285793,0.8039104755063206,0.7984239828202842,0.81052994957832,0.76,0.764,0.7553,0.7687
CRepDyn_static0,False,0,100,3,0.5,0.2,4,0.0,0.0,0.7169137345954637,0.2,0.8876028225293997,0.8873832811387976,-5958.2644208630945,-16103.691466640921,0.8320228550452319,0.835183707573128,0.8326511789198277,0.8362894497844974,0.8043,0.8011,0.7949,0.7993
CRepDyn_static0,False,0,100,3,0.5,0.2,5,0.0,0.0,0.6677671990171992,0.2,0.8700637671532147,0.8700048102067386,-5792.963715903097,-16822.96554049967,0.817098618484555,0.8252090206250396,0.8198951161066391,0.8283634517714793,0.7816,0.7774,0.7837,0.7817
CRepDyn_static,False,0,100,3,0.5,0.2,2,9.843654353629264e-34,0.0,0.876186810366949,0.2,0.9090611727000467,0.9110264842808644,-7484.131814607465,-14417.261787284306,0.7529186510840327,0.7631778253807578,0.7599137063517142,0.7678484701213449,0.7165,0.71,0.7111,0.7265
CRepDyn_static0,False,0,100,3,0.5,0.2,6,0.0,0.0,0.6293097676909689,0.2,0.8738126940576292,0.8748427368288979,-5826.848016671728,-17650.391486999353,0.8065129684289882,0.8123398015090634,0.7966569062300519,0.8034680173625288,0.761,0.7661,0.7542,0.7564
CRepDyn_static,False,0,100,3,0.5,0.2,3,0.018051323509055715,0.0,0.7821319819202627,0.2,0.9476832669484488,0.9267932550994504,-5655.365930294098,-14800.231253216967,0.786329300501694,0.7939390829228384,0.7936102933138492,0.8053942087362144,0.7474,0.7468,0.7522,0.7573
CRepDyn_static,False,0,100,3,0.5,0.2,4,0.03431784232485232,0.0,0.7104991313858586,0.2,0.9107288551233605,0.8877050255024231,-5675.224243743958,-16123.189288076865,0.8052631847417574,0.813689021111211,0.8329202124629816,0.8387426246443171,0.7655,0.7666,0.7907,0.8009
CRepDyn_static,False,0,100,3,0.5,0.2,5,0.04930750028322853,0.0,0.6578491077097719,0.2,0.8965089355693561,0.8705561344430947,-5615.932182294,-16979.545825168527,0.7784211722269172,0.7804577722246864,0.8125390335629662,0.8245573360080329,0.738,0.7315,0.7747,0.7888
CRepDyn_static,False,0,100,3,0.5,0.2,6,0.06022793930536642,0.0,0.6167685065893146,0.2,0.9094346820856989,0.8746661674032578,-5374.71829430459,-17564.064286667446,0.7675918377011794,0.7694351568087037,0.7952150108734294,0.8050909178603384,0.7189,0.7144,0.7528,0.7651
